Stock1,Stock2
6.21,4.27
-7.51,-8
1.17,0.07
-2.46,-0.52
0.06,3.17
-8.82,-7.41
3.62,1.64
-10.69,-3.27
-6.28,-2.54
-1.08,-0.25
4.97,6.64
-3.95,-1.68
-10.1,-8.19
3.6,1.71
7.37,5.15
5.59,5.54
-8.13,-8.3
-11.95,-10.07
-4.57,-7.48
1.46,3.02
8.4,4.63
-11.18,-6.65
8.21,7.7
-0.91,-0.51
-4.17,-2.46
-2.11,-3.36
1.84,3.63
-11.32,-7.67
0.52,1.72
5.66,5.49
-7.37,-10.37
2.85,1.94
-2.94,-3.7
0.09,0.82
5.4,4.25
-4.02,-4.12
6.21,7.21
-2.13,0.08
-6.62,-4.16
-1.93,-0.16
0.39,-1.13
8.29,8.23
-5.32,-6.43
9.81,7.93
-6.67,-6.14
7.07,5.2
6.07,6.81
12.69,6.64
10.97,8.12
3.52,2.87
-0.41,-0.37
-5.8,-2.29
-2.26,1
-6.74,-5.09
-0.14,-4.45
-1.36,0.37
0.43,0.2
5.36,3.33
6.14,12.69
4.22,2.58
0.87,1.35
2.89,-0.1
-3.49,-6.36
-0.63,2.69
1.03,-0.7
-5.17,-5.98
-2.36,-4.15
0.24,0.37
5.46,3.17
0.88,5.69
-0.44,0.76
8.27,4.19
-1.44,-3.33
6.66,4.78
2.11,3.33
5.53,3.67
-2.36,-3.77
7.38,0.09
8.08,4.97
-1.89,-0.78
2.66,4.93
4.95,3.86
-1.19,0.2
1.87,-0.04
-15.09,-11.4
-6.41,-3.9
2.73,1.03
-5.8,-3.09
3.42,2.65
-10.31,-7.23
-1.62,-2.35
-1.66,-4.85
-4.12,-0.78
-8.84,-3.86
0.54,0.61
-2.09,3.15
2.73,4.34
4.39,4.03
5.11,5.88
3.08,3.1
-1.1,2.27
2.8,2.93
-0.69,-1.58
-3.69,-0.74
-4.85,-2.51
6.69,5.36
2.79,1.42
-6.56,-2.58
5.63,4.46
5.3,5.38
1.88,-0.93
-1.69,-4.53
-5.41,-1.86
-5.17,-4.63
2.08,-1.74
0.93,-1.74
0.12,0.21
-2.25,-3.12
-3.76,-0.33
-2.04,0.79
-9.43,-4.51
1.4,9.69
-1.79,0.88
-7.69,-1.93
12.53,8.52
9.26,0.02
-1.33,0.1
1.07,-1.4
6.25,0.45
4.86,2.96
9.23,5.66
7.66,6.45
-3.34,-2.28
4.47,5.55
9.84,6.27
7.72,4.35
-7.78,-2.09
-1.77,-0.2
4.29,2.93
-0.2,0.15
5.36,8.07
1.22,1.07
7.58,9.55
2.44,-1.88
4.6,4.73
-0.45,2.54
-3.78,-0.87
-0.13,-0.94
-1.56,-6.34
-5.28,-2.15
-5.07,-4.49
3.05,-1.07
-0.61,-0.05
4.98,3.93
0.7,-0.95
-2.6,-2.39
-4.75,0.72
-2.68,-4.17
4.75,5.74
3.19,1.44
-0.62,1.56
1.8,3.43
1.74,2
6.17,5.13
1.27,2.66
-4.87,-3.14
3.83,1.86
1.02,-0.67
-8.34,-8.15
0.5,0.75
7.42,4.27
-1.64,-2.02
1.13,-1.28
2.78,-0.52
4.12,6.02
4.57,-0.26
3.72,4.14
-0.02,-3.28
3.94,4.78
1.59,2.02
0.66,5.23
-15.28,-12.77
13.29,10.16
5.72,1.17
-2.61,-2.93
-4.58,-5.83
-3.42,-3.13
0.3,0.46
7.92,7.31
-5.4,-4.7
-3.78,-2.1
-3.33,-1.78
4.57,4.32
3.66,-4.19
2.92,1.45
4.76,5.66
4.28,5.92
0.91,-0.78
0.97,-1.25
6.31,4.68
0.65,0.56
3.14,1.56
1.04,-0.44
-1.03,0.25
3.62,3.98
2.74,2.63
1.21,-1.54
-2.19,-8.35
2.44,5.06
3.9,0.36
6.31,7.52
-1.26,-1.92
0.49,1.17
-2.86,-0.56
-3.32,-2.39
2.99,3.38
-2.58,0.16
0.37,0.14
2.3,1.26
2.88,2.13
-1.03,-4.11
0.24,3.49
-0.28,0.3
1.57,0.38
-2.82,-0.84
2.36,0.35
-0.93,-0.81
-0.7,-0.38
1.8,-4.12
-0.55,1.74
-6,3.79
-4.34,-1.13
-0.13,-1.82
-2.14,-2.65
0.23,-0.38
-0.71,-1.06
0.14,-0.8
-3.51,-2.75
-2.98,-3.75
1.49,0.34
4.82,4.48
0.34,-0.12
-3.25,-1.15
-1.61,0.42
-0.94,-1.11
3.8,-1.17
3.81,0.79
2.24,1.76
-4.82,-3.15
-2.37,-3.09
-0.85,1.43
6.41,1.89
1.73,4.43
3.69,0.74
-5.01,-8.25
-0.53,0.65
2.47,3.31
-2.17,-1.01
-2.34,-4.25
-0.06,1.42
0.24,-1.88
-3.65,0.97
-0.15,-0.27
-4.25,-0.32
-0.24,-2.06
0.76,-4.84
-6.74,-9.63
2.79,0.45
2.47,1.86
-2.93,-0.05
-4.21,-2.95
-4.33,-4.5
6.08,1.12
-2.09,1.72
6,5.27
4.58,3.11
-5.67,-7.89
2.58,0.91
0.96,1.79
-2.6,-0.37
9.78,3.56
1.19,1.31
-2.19,-7.08
1.42,1.06
3.67,1.55
-10.12,-8.94
-8.85,-5.18
1.06,0.69
4.46,4.13
7.26,8.59
6.3,5.13
-4.39,-3.5
-1.01,-2.58
1.47,2.23
2.2,3.6
-3.57,-6.75
1.82,1.26
-5.59,-4.48
7.14,6.66
0.46,-1.53
3.61,4.71
2.47,3.76
0.22,-9.36
4.76,4.7
2.44,2.19
1.15,2.56
4.89,-3.43
-2.47,-0.59
-2.57,-0.82
-5.69,-2.27
0.86,-0.5
0.98,-0.02
3.39,1.65
-7.51,-4.28
-0.17,1.64
-3.77,-2.11
1.65,0.08
2,1.71
-1.49,-2.99
-1.62,-3.46
-4.62,-4.92
0.61,2.25
4.96,4.41
-2.56,-1.74
8.01,7.87
-6.36,-5.91
2.05,-1.98
-0.42,-1.72
3.82,-0.57
3.96,5.17
-0.61,-0.81
-9.38,-5.88
0.7,0.02
8.66,5.86
3.82,4.6
0.39,-1.23
4.36,2.26
0.03,0.69
2.19,-2.98
-3.62,-5.25
8.78,6.04
9.28,6.53
-1.69,-2.82
-6.24,-4.55
0.7,-1.2
3.59,5.5
1.92,2.25
-5.05,0.48
-4.96,-3.49
1,0.9
-11.55,-7.54
4.19,2.97
-6.76,-5.05
4.12,2.39
-16.62,-11.61
2.7,4.08
10.58,8.87
4.84,4.67
-1.18,-2.33
-2.48,-2.18
-5.4,-2.36
-1.63,0.81
0.85,0.69
-0.32,-3.06
1.42,-1.72
0.48,-1.42
-4.31,-2.84
-0.44,1.55
-4.85,-2.99
2.78,3.79
3.83,4.36
1.52,1.92
-1.28,2.66
0.33,-1.52
-2.44,-0.31
5.43,5.86
0.06,-1.52
2.3,-0.59
-7.08,-4.95
-2.36,-2.98
1.68,2.11
-2.61,-2.87
-1.34,-4.47
-0.1,0.15
3.02,2.61
1.63,1.1
0.85,3.99
4.08,2.94
-5.08,-8.16
4.08,0.42
-5.42,-5.72
3.4,2.25
5.95,1.31
-5.91,-6.44
1.49,5.02
5.82,2.5
3.94,4.47
-1.94,-2
4.04,1.79
-5.26,-4.11
-2.14,0.5
10.59,7.49
-2.24,4.31
6.95,4.3
2.24,4.77
-4.09,-4.05
2.21,3.06
-4.03,-8.39
-1.22,-0.04
-7.31,-3.48
0.46,-0.05
-5.82,-4.5
4.49,1.95
3.3,-3.63
-6.33,-3.55
0.29,2.49
0.7,0.28
-3.92,-3.14
-4.86,0.23
2.45,2.83
2.47,1.46
-1.2,-1.5
-1.94,-3.52
-2.07,-1.3
-0.5,4.01
-0.27,0.35
-1.48,-2.08
-2.98,-1.53
0.9,-2.02
1.02,0.87
0.67,-1.03
4.9,4.99
0.82,1.58
-6.21,-4.75
0.59,0.93
4.77,1.04
5.56,1.24
-3.37,-0.88
-4.08,-3.28
5.02,1.58
0.33,-0.57
-4.33,-2.85
4.01,4.49
-2.26,-0.11
0.59,3.34
-0.73,-2.16
-1.18,-0.72
-0.42,0.17
-2.62,-2
-5.83,-6.76
1.57,0.96
-1.54,-0.93
4.15,2.09
-1.88,-2.55
3.48,2.14
1.53,2.56
-0.29,-4.22
-1.24,-1.34
-3.62,-5.01
-3.25,-4.25
-3.26,-3.57
3.35,2.59
-0.36,0.67
0.74,1.62
4.83,5.71
-4.35,-5.24
-1.42,-5.48
2.69,-2.89
0.8,-2.53
-3.06,-1.65
0.11,1.4
0.33,-5.25
2.86,-1.64
-3.73,-2.81
0.05,-1.11
-3.92,-5.32
-4.82,-3.9
1.23,1.05
1.9,1.67
4.22,4.81
4.08,4.26
5.2,3.13
5.69,1.4
-5.04,-4.64
1.91,0.49
-1.4,0.12
-3.14,0
-11.06,-9.79
-0.36,-2.41
2.56,-0.06
5.02,4
3.97,3.02
2.78,1.21
-1.22,1.68
4.19,-1.93
-3.43,1.45
1.98,0.81
1.18,2.32
-4.51,-3.77
10.07,4.59
-2.89,-3.21
-6.12,-7.89
-1.5,-1.91
-0.88,-2.02
-1.08,-1.08
0.69,1.06
-0.81,4.06
0.85,3.98
2.27,-3.37
-1.27,-0.64
1.24,1.14
-0.25,0.84
-1.38,-0.09
8.35,7.38
-3.54,-3.11
-1.47,-0.58
-5.48,-6.07
3.22,3.97
-7.69,-3.28
1.95,3.13
-3.98,1.09
-1.09,-0.21
6.45,3.06
-0.91,-0.71
-5.42,-6.34
3.4,-0.62
-0.82,0.38
3.4,0.72
-0.45,-4.19
2.79,3.1
-5.71,-6.28
1.68,-0.36
-2.09,-0.8
-15.48,-6.74
2.67,-2.71
-6.5,-6.23
-4.48,-2.5
-2.53,2.33
-4.66,-2.19
-0.57,5.87
7.88,4.54
3.89,0.7
4.61,4.5
2.94,2.65
-0.65,-1.17
-1.7,-3.84
2.3,2.82
-1.36,5.76
2.85,4.64
3.55,1.42
-0.08,-2.71
7.13,7.15
-1.27,-4.21
0.17,-2.76
-10.25,-7.36
-4.7,-1.37
0.66,0.42
2.53,3.47
-2.12,-3.76
-7.25,-13.32
0.39,0.7
-0.89,-0.4
-5.02,-3.68
0.21,1.18
-2.99,-4.39
5.41,3.79
8.58,7.19
-6.59,-5.57
7.61,7.55
1.28,0.92
-0.89,-0.47
7.1,4.68
-6.63,-6.03
4.22,-1.63
-1.15,0.25
0.01,-0.58
-3.84,-0.63
2.4,1.98
-7.5,-7.13
5.62,7.43
-1.68,-2.94
-0.76,0.9
-1.09,-1.65
-9.47,-4.61
-0.92,-0.22
-0.29,0.53
11.29,9.11
5.06,3.17
7.33,5.02
-5.79,-1.66
-2.25,-0.96
4.07,4.24
6.22,8.15
-9.01,-3.79
9.2,10.29
3.97,5.46
7.04,-1
-8.92,-6.92
11.98,10.43
-7.06,-5.72
-2.78,-2.36
10.13,11.27
7.64,1.48
-3.94,-1.45
4.83,3.45
11.13,8.32
1.48,1.57
-3.84,-0.4
-0.78,0.54
0.97,2.36
0.06,-4.39
-1.44,-3.4
-4.81,-5.82
-1.7,3.61
-0.76,-3.92
1.86,1.41
2.7,1.59
-0.35,1.14
0.07,2.1
-0.6,-3
-2.66,-2.3
-4.68,4.37
0.29,-0.16
-1.77,2.59
-4.48,-1.36
-3.26,-1.76
-2.33,-2.39
5.81,6.6
0.57,2.72
-7.48,-4.83
-4.86,-6.43
9.34,4.13
-3.44,-1.41
-0.94,0.5
-5.69,-2.79
-9.11,-9.08
4.93,5.38
-8.29,-7.52
6.15,3.24
-0.16,-0.29
-0.99,-0.43
-3.21,-0.9
-1.83,-0.04
-1.01,-5.98
6.83,6.75
-5.52,-4.6
-3.9,-0.5
2.06,3.21
2.27,3.46
-5.27,-9.5
4.81,0.33
8.69,5.42
-2.7,2.83
7.35,7.83
16.86,10.93
3.93,1.92
-7.58,-8.04
-3.85,-5.15
-5.07,-5.22
0.21,1.59
5.21,7.82
-3.55,-2.31
12.68,10.91
-1.99,0.18
10.5,7.77
13.64,11.44
-0.31,-2.92
-6.5,-2.83
3.52,4.59
8.19,3.08
2.34,0.62
-11.47,-8.45
9.63,6.4
7.45,3.98
-14.53,-12.86
-4,-3.58
-14.91,-15.07
-17.15,-12.22
16.87,10.18
-3.46,-0.4
-3.67,-3.55
13.14,8.86
-2.27,-3.91
-0.14,3.46
-0.48,0.02
-9.79,-10.43
12.02,3.04
4.25,2.58
-7.64,-3.03
-7.99,-4.31
2.16,-1.35
-7.79,-4.5
-8.4,-7.3
5.63,2.29
4.58,5.46
-8.02,-5.42
1.83,-0.93
6.6,7.17
0.54,-2.64
-14.31,-12
8.08,6.52
15.2,11.69
-8.68,-4.17
5.96,4.78
2.42,4.73
-1.06,0.37
7.63,7.35
4.35,5.82
3.37,3.82
14.3,4.45
-1.08,-1.05
-8.33,-6.86
2.59,0.36
3.1,1.28
12.53,5.68
-2.16,-1.09
3.85,2.54
-14.12,-8.84
-0.43,-1.98
0.56,-1.74
5.3,4.03
-7.36,-8.4
-9.1,-7.87
-0.22,0.6
-0.9,-0.1
-4.03,-1.75
-6.08,-5.52
-4.31,-3.51
9.63,6.07
-8.22,-2.46
3.47,2.06
6.04,4.77
2.61,2.26
1.45,1.78
1.63,0.23
-9.16,-6.73
2.8,3.36
-7.32,-3.32
7,4.81
4.82,2.13
-7.58,-2.5
-4.38,-5.55
-0.75,3.5
-9.31,-4.55
6.84,2.6
1.18,-3.53
-6.2,-6.13
8.37,5.03
-7.49,-7.51
9.15,4.27
-6.07,-5.93
-4.61,-6.35
-6.84,-4.79
-0.52,0.98
11.93,11.02
-1.68,0.24
9.79,7.08
-10.33,-9.79
5.72,5.7
4.57,4
-1.07,-0.06
-5.57,-5.05
-18.25,-12.95
3.36,2.92
-7.44,-5.91
-19.28,-15.21
16.39,12.67
-2.46,-1.2
-7.24,-6.89
1.12,2.95
4.77,2.5
-8.73,-7.84
-5.66,-3.45
-14.42,-9.53
0.3,-0.46
-16.29,-16.6
-14.73,-10.83
2.44,2.4
7.1,6.19
9.31,7.41
6.27,7.68
17.93,15.94
-9.24,-6.55
0.82,1.16
-0.46,1.52
4.37,4.08
-8.74,-8.33
-20.47,-14.84
-16.64,-14.99
17.26,14.17
16.87,13.39
-10.39,-7.07
19.88,11.56
3.56,0.39
-8.55,-5.85
8.11,3.69
-13.59,-9.59
-5.13,-1.94
-0.67,-0.03
15.48,11.09
-1.48,2.03
-3.45,-4.49
5.49,4.36
-8.32,-4.88
-5.33,-4.62
10.37,3.8
4.47,1.78
15.66,14.04
15.05,14.43
-12.41,-9.07
3.59,1.11
-6.33,-5.68
-21.12,-12.99
1.31,2.13
-17.12,-17.24
-9.04,-6.5
15.41,10.29
12.4,9.34
-6.17,-4.41
-11.54,-11.41
0.35,-2.25
7.27,6.04
-4.91,-3.71
-13.11,-8.72
20.48,14.02
-13.48,-10.58
-4.05,-4.35
7.79,6.26
-2.41,-2.06
4.59,5.08
5.14,2.54
15.27,11.67
30.35,24.98
-14.31,-6.77
-9.26,-7.81
-6.34,-4.11
-11.24,-8.7
-3.42,-7.58
27.46,21.66
10.19,8.99
-1.2,5.27
13.17,8.97
-2.28,-1.5
-1.11,-2.6
-13.27,-9.14
-20.86,-13.18
6.56,5.05
-6.03,-0.73
-7.51,4.78
-0.67,0.37
6.79,3.99
9.67,6.61
-7.54,-6.68
6.04,3.66
-17.36,-12.39
-10.55,-5.18
-2.85,-2.02
-0.39,0.29
3.78,2.42
-8.46,-6.48
-10.27,-4.61
0.88,2.16
5.51,4.89
2.84,0.66
9.55,5.25
-12.68,-10.37
5.63,4.71
2.92,1.58
-0.19,4.36
3.52,2.61
-3.54,-4.06
3.84,4.68
11.44,8.78
5.77,3.92
0.04,0.97
-6.77,-5.36
-12.47,-7.55
4.22,0.51
1.23,1.06
-12.17,-9.17
6.72,6.7
-0.69,-0.29
2.53,0.81
-3.05,-6.63
4.01,1.25
8.67,7.54
0.87,5.91
-1.89,-0.06
0.28,0.24
-2.17,-1.64
3.65,8.72
1.15,0.92
0,-1.08
-0.06,0.49
-1.23,1.07
4.58,1.37
11.06,8.62
-3.17,-2.98
-5.02,-4.22
-4.11,-3.1
-6.82,0.18
-1.12,-0.06
2.27,3.21
6.01,0.33
-2.86,-3.74
-5.78,-5.81
9.05,10.14
0.38,-0.08
2.02,1.24
-1.54,2.45
1.6,2.81
1.02,-1.6
-3.12,-3.04
-2.73,-0.5
4.51,1.64
5.49,9.54
1.94,-0.86
3.63,5.63
-0.99,1.42
-1.53,1.02
-5.98,-4.27
6.02,4.65
-12.07,-7.62
2.96,4.12
5.73,5.52
-4.83,-3.15
-10.65,-6.5
7.01,3.63
-6.33,-8.09
8.68,1.28
-0.46,2.87
-10.63,-9.09
-5.29,0.17
1.11,0.96
-2.07,-2.11
3.89,5.08
-0.34,-2.13
6.95,4.27
5.99,7.94
3.51,3.35
-1.38,-1.78
5.64,3.84
7.43,6.84
-3.25,-0.45
1.62,4.36
-5.54,-5.14
-7.64,-5.45
3.51,1.3
-8.49,-8.67
-6.25,-2.1
0.61,-0.34
4.31,2.36
-1.95,-1.31
-6.08,-7.09
-6.79,-1.4
5.14,3.38
0.92,0.09
2.78,0.85
-5.87,-2.33
5.87,1.98
2.36,-1.7
-3.37,-1.91
-3.76,-4.02
6.34,5.14
0.12,0.63
-2.63,-1.06
-0.81,-6.94
3.6,0.74
3.41,-0.2
-1.07,-0.28
-0.97,-8.74
1.83,-2.03
2.75,3.71
-0.76,-0.53
-0.81,-1.91
-0.69,-0.24
-1.35,-2.56
3.1,4.76
6.26,5.2
-1.28,-1.91
-4.36,-1.1
2.78,3.6
-4.46,2.38
-2.33,1.69
1.36,2.55
3.86,-4.57
1.36,2.65
-0.58,-1.05
3.31,5.11
4.29,1.19
-7.86,-6.32
6.05,7.57
2.85,-2.63
3.74,-2.81
3.47,1.39
-2.22,0.3
-2.84,-6.05
4.67,4.69
-3.17,0.36
-7.82,-6.57
-4.52,-2.57
5.2,3.93
-0.66,-1.4
-0.02,-3.81
-3.78,-2.09
0.4,-1.18
8.91,9.96
2.35,1.46
-7.81,-5.19
-1.92,-2.33
-2.42,-0.31
1.71,1.26
-0.87,-1.61
-0.22,-0.55
1.98,1.43
-4.95,-2.26
0.89,2.49
-1.32,-2.63
0.02,-0.04
0.63,0.81
1.93,0.54
0.19,-0.16
-1.07,-12.2
-2.8,-3.38
-2.75,-0.66
1.36,0.92
2.9,0.17
1.3,-1.2
4.16,1.07
4.23,3.27
-1.04,-1.05
1.79,-0.72
0.21,-1.64
4,1.44
-0.98,-0.47
-2.35,-2.06
2.29,0.32
-0.58,-0.47
0.91,-0.67
-2.21,1.34
0.09,2.6
1.4,0.48
-0.63,-1.8
-1.58,-0.03
1.57,1.25
-0.34,-2.92
0.84,2.92
2.86,-0.59
-3.14,-4.29
0.77,2.19
4.49,5.34
2.71,1.34
6.27,0.19
1.88,-0.54
-0.27,1.79
1.65,2.33
3,2.19
0.52,-2.03
1.67,2.58
1.83,2.35
1.43,1.85
1.28,-2.99
0.79,-1.99
2.2,-1.06
2.74,4.6
-4.98,-2.96
3.53,2.65
1.27,-0.53
2.85,-1.6
3.99,4.25
2.03,1.83
-10.03,-6.65
-2.33,-1.49
-2.5,-1.27
-1.58,-1.27
1.98,1.8
0.62,-3.69
-0.24,-0.56
4.42,2.38
-2.04,-2.27
-2.79,0.85
3.21,2
3.11,0.46
-0.82,1.99
-0.82,2.22
-0.14,-1
7.17,2.29
-0.47,-1.09
-6.7,-0.76
2.54,2.64
-5.02,-3.4
-8.47,-7.64
-2.43,5.34
-0.4,-1.14
1.64,3.31
-1.01,-0.02
1.47,8.29
-1.25,2.04
5.31,3.92
-5.63,-4.51
-0.03,-3.78
0.38,-3.6
2.41,2.38
-0.79,2.16
-2.82,0.13
-1.69,-1.49
-0.88,1.9
-2.1,2.35
3.71,-0.49
1.54,0.73
-5.46,-4.62
0.66,-1.07
5.1,3.9
0.28,0.89
-0.78,-2.01
2.93,4.9
-3.01,1.96
5.23,3.65
6.12,4.94
-3.77,1.42
-3.49,-3.97
3.23,1.18
-4.29,-2.73
-4.73,-2.73
-2.01,0.06
4.08,3.27
-1.66,1.59
5.39,0.97
0.81,1.99
0.51,1.58
2.21,-2.93
1.11,1.44
-0.03,2.05
-1.4,-1.61
-2.42,-3.69
-1.97,-0.04
-4.18,-1.92
2.81,4.5
-0.68,-3.25
-1.27,-2.96
4.45,2.35
-2.15,-4.94
-1,-5.46
-5.22,-2.3
-1.91,-1.24
-3.19,0.44
-0.7,-2.84
1.13,-1.91
-4.32,-0.14
2.67,-1.59
0.21,-1.39
1.31,1.18
2.25,-1.42
5.22,2.72
1.11,-0.25
0.2,2.55
-1.64,-0.24
-0.79,-4.19
-2.29,-0.18
-0.34,0.58
1.91,2.09
-1.84,-3.75
-1.55,-0.08
-7.94,-3.35
-3.1,-6.88
-1.01,-2.79
-0.87,2.01
0.33,-0.49
-4.87,-3.03
1.07,1.14
1.3,0.18
1,2.62
5.01,1.96
-6.55,-6.82
-4.39,-2.85
3.6,5.27
-2.26,-0.97
0.4,0.15
-0.76,-1.56
0.3,1.17
-1.71,1.93
-1.49,-4.42
-0.53,-0.68
1.14,2.03
-1.45,-0.6
-0.17,0.95
0.97,-1.54
2.37,1.82
1.8,1
-1.12,-1.87
-0.96,-0.08
0.61,1.34
1.54,-1.57
-4.27,-3.6
2.2,0.25
5.35,3.31
0.73,-0.75
-2.81,0.03
-0.77,-0.83
1.44,5.09
-2.41,4.01
5.44,0.42
-3.95,-4.56
-8.27,-6.42
-1.72,-1.62
-1.52,-2.51
-3.46,-2.72
1.25,2.34
-0.81,-3.88
-2.49,-3.16
-6.49,-5.17
1.34,0.44
1.43,1.06
0.99,1.75
0.27,-1.27
2.81,3.13
-1.52,-1.55
-3.89,-2.12
3.69,0.69
0.92,5.12
-8.51,-7.86
-0.01,-1.98
2.4,-0.79
-1.37,-2.73
6.32,7.27
-0.45,-4.37
8.3,12.01
-1.88,0.44
-0.7,0.62
-1.39,7.25
2.45,3.49
-2.22,-5.04
-1.74,-0.51
-1.74,-2.86
4.04,2.79
1.11,5.4
2.04,2.81
3.87,3.36
-0.48,-1.32
-0.85,-0.97
-0.27,2.14
-6.09,-4.06
4.9,5.06
6.51,2.17
0.36,1.78
-2.38,-2.03
-3.94,-6.56
-4.78,-2.76
-1.2,-1.11
5.98,3.09
2.97,2
2.35,1.87
4.15,1.2
0.17,5.7
-3.19,-3.24
-0.89,-0.58
2.74,-1.15
0.36,0.72
6.81,8.25
-1.98,-1.66
-2.94,-3.72
3.98,1.71
8.94,3.9
2.07,7.79
0.93,-0.07
-10.36,-8.07
3.43,-2.21
-2.97,-5.13
1.74,4.76
-1.74,-5.78
1.35,4.28
0.65,0.44
3.15,0.01
3.94,2.27
-1.56,-2.33
-1.11,-3.66
-1.24,-0.11
0.89,-2.36
5.1,3.69
-6.15,-4.77
1.72,3.68
1.24,0.83
2.47,4.2
1.86,1.03
-4.19,-2.53
-0.37,0.06
6.25,6.52
2.74,3.06
1.27,3.23
3.54,4.84
-2.65,-0.4
1.99,-1.82
1.44,-3.32
-6.36,-3.96
-3.36,-3.24
3.27,-1.85
4.68,3.61
1.08,-1.58
-3.51,-2.31
1.58,0.6
-2.91,-3.03
9.22,4.68
0,-0.05
1.55,2.47
5.15,0.63
-0.27,-3.34
-7.21,-5.09
-0.81,-1.22
1.74,2.35
-1.81,-1.36
-5.93,-3.76
5.47,8.5
1.64,1.94
3.62,4.35
0.33,-3.86
-3.73,-4.39
-7.27,-3.37
-4.07,-1.72
-2.09,-5.11
-3.28,-2
-2.09,-5.34
-1.69,-3.3
-6.01,-3.9
-5.58,-4.95
0.45,3.78
-3.39,-2.49
5.6,1.07
-7.61,-6.5
-1.21,-0.02
7.34,8.83
3.89,4.71
-0.66,-1.94
-0.16,-1.04
5.88,7.79
-2.99,-3.61
-2.68,2.05
-1.03,0.38
-5.91,-3.98
-2.76,-1.42
1.24,1.44
-2.93,-4.25
1.68,-0.61
0.75,-2.65
2.75,2.9
4.43,2.81
2.44,1.03
-0.48,0.16
-2.34,-1.02
-2.23,-1.26
4.64,1.8
7.58,6.91
-3.66,-2.34
1,-4.68
-0.78,1.42
9.35,6.85
2.24,1.15
-6.44,-3.56
-0.4,0.42
6.98,5.85
0.7,0.78
3.22,2.86
1.87,2.06
2.9,4.07
-0.61,1.85
